source_io_code,source_io_name,target_io_code,target_io_name,value
0111,벼,2812,"알루미늄 제련, 정련 및 합금제품",0.0004753910100849293
0111,벼,2813,"연 및 아연 제련, 정련 및 합금제품",0.0002221488202708972
0111,벼,2814,금은괴,0.0003238244149098542
0111,벼,2819,"기타 비철금속 제련, 정련 및 합금제품",0.0002803918919032092
0111,벼,2821,동 1차제품,0.0004380826824530083
0111,벼,2822,알루미늄 1차제품,0.000484512047487446
0111,벼,2829,기타 비철금속 1차제품,0.0004961534872090724
0111,벼,2900,금속 주물,0.0008158284057720856
0111,벼,3011,건축용 금속제품,0.0007337795672501975
0111,벼,3012,구조물용 금속제품,0.0006934627981974846
0111,벼,3013,금속제 탱크 및 압력용기,0.0008572304983351646
0111,벼,3014,산업용 보일러 및 증기발생기,0.0006321902999444594
0111,벼,3021,금속 단조 및 야금제품,0.0009988555904439649
0111,벼,3022,금속압형제품,0.0007734186563256206
0111,벼,3031,금속처리,0.0005078554288710969
0111,벼,3032,금속처리 가공품,0.000570511017489948
0111,벼,3091,가정용 금속제품,0.0006912139051311338
0111,벼,3092,부착용 금속제품,0.0007219044259593513
0111,벼,3093,공구류,0.0005925101362823294
0111,벼,3094,나사 및 철선제품,0.0008767105519618343
0111,벼,3095,금속포장용기,0.0007212445648731304
0111,벼,3099,기타 금속제품,0.0006417851538569247
0111,벼,3101,개별소자,0.00023646872027525
0111,벼,3102,집적회로,0.0002651407730958672
0111,벼,3201,LCD 평판 디스플레이,0.0003257642643367526
0111,벼,3209,기타 전자표시장치,0.0003293983683023047
0111,벼,3310,인쇄회로기판 및 실장기판,0.00051084814194042
0111,벼,3391,"축전기, 저항기, 전자코일 및 변성기",0.0004324422707470775
0111,벼,3399,기타 전자부품,0.0003346942859409958
0111,벼,3401,컴퓨터,0.0004076524127277618
0111,벼,3402,컴퓨터 기억장치,0.0002703533229719669
0111,벼,3409,컴퓨터 주변기기,0.0005934075709299315
0111,벼,3511,유선통신기기,0.000396519989828476
0111,벼,3512,이동전화기,0.0004076779166231693
0111,벼,3519,기타 무선통신장비 및 방송장비,0.0003818242771804842
0111,벼,3521,TV,0.0006512347145204662
0111,벼,3522,영상기기,0.0004900206252704785
0111,벼,3523,오디오 및 음향기기,0.000665762193378517
0111,벼,3611,의료용 기기,0.000592676441411458
0111,벼,3612,측정 및 분석기기,0.0004434032552233529
0111,벼,3613,자동조정 및 제어기기,0.0006417337402849134
0111,벼,3691,사진장비 및 광학기기,0.0006250006783759103
0111,벼,3692,시계,0.0006306652329675543
0111,벼,3710,발전기 및 전동기,0.0004767974331790168
0111,벼,3721,변압기,0.0005523795010012113
0111,벼,3722,전기변환장치,0.0005134739950118152
0111,벼,3723,전기회로 개폐 및 접속장치,0.0005058974596625016
0111,벼,3724,배전반 및 전기자동 제어반,0.0005041013538685478
0111,벼,3730,전지,0.0003466533130322744
0111,벼,3740,전선 및 케이블,0.000544560545936588
0111,벼,3751,가정용 냉장고 및 냉동고,0.0005767880475675006
0111,벼,3752,주방용 및 난방용 전기기기,0.0005231537547591662
0111,벼,3759,기타 가정용 전기기기,0.0006080890870105747
0111,벼,3791,전구 및 램프,0.0005553439968796597
0111,벼,3792,조명장치,0.0005576732163834772
