원본_업종명,정규화_업종명,KSIC_코드_4자리,KSIC_명칭,매칭_레벨,매칭_방식,매칭_스코어,KSIC_코드_5자리,5자리_모호성,KSIC_코드_11차,변경유형
기타 해상 운송업,기타 해상 운송업,5013,기타 해상 운송업,hwp_5digit,hwp_exact,1.0,50130,False,,
기타 협회 및 단체,기타 협회 및 단체,9309,기타 협회 및 사회 단체,basic,fuzzy,0.8696,,False,,
기타 화학물질 및 화학제품 도매업,기타 화학물질 및 화학제품 도매업,4673,기타 화학물질 및 화학제품 도매업,hwp_5digit,hwp_exact,1.0,46739,False,,
기타 화학제품 제조업,기타 화학제품 제조업,2099,기타 화학제품 제조업,basic,exact,1.0,,False,,
기타 환경 정화 및 복원업,기타 환경 정화 및 복원업,3900,환경 정화 및 복원업,basic,fuzzy,0.88,,False,,
기타 회계 관련 서비스업,기타 회계 관련 서비스업,5290,기타 운송 관련 서비스업,basic,fuzzy,0.8462,,False,,
김밥 및 기타 간이 음식점업,김밥 및 기타 간이 음식점업,5619,김밥 및 기타 간이 음식점업,hwp_5digit,hwp_exact,1.0,56194,False,,
김치류 제조업,김치류 제조업,1030,김치류 제조업,hwp_5digit,hwp_exact,1.0,10301,False,,
끈 및 로프 제조업,끈 및 로프 제조업,1392,끈 및 로프 제조업,hwp_5digit,hwp_exact,1.0,13921,False,,
나무제품 제조업,나무제품 제조업,2392,석제품 제조업,basic,fuzzy,0.8,22231100,True,,
낙농품 및 동ㆍ식물성 유지 도매업,낙농품 및 동식물성 유지 도매업,4632,낙농품 및 동ㆍ식물성 유지 도매업,linkage_11th,link11_exact,1.0,46324,False,46324,
낚시 및 수렵용구 제조업,낚시 및 수렵용구 제조업,3330,낚시 및 수렵용구 제조업,hwp_5digit,hwp_exact,1.0,33303,False,,
날붙이 제조업,날붙이 제조업,2593,날붙이 제조업,hwp_5digit,hwp_exact,1.0,25931,False,,
"날붙이, 수공구 및 일반철물 제조업",날붙이 수공구 및 일반철물 제조업,2591,"날붙이, 수공구 및 일반철물 제조업",basic,exact,1.0,,False,,
날염 가공업,날염 가공업,1340,날염 가공업,hwp_5digit,hwp_exact,1.0,13403,False,,
남녀용 겉옷 및 셔츠 도매업,남녀용 겉옷 및 셔츠 도매업,4641,남녀용 겉옷 및 셔츠 도매업,hwp_5digit,hwp_exact,1.0,46413,False,,
남자용 겉옷 소매업,남자용 겉옷 소매업,4741,남자용 겉옷 소매업,hwp_5digit,hwp_exact,1.0,47411,False,,
남자용 겉옷 제조업,남자용 겉옷 제조업,1411,남자용 겉옷 제조업,hwp_5digit,hwp_exact,1.0,14111,False,,
내륙 수상 및 항만 내 운송업,내륙 수상 및 항만 내 운송업,50,수상 운송업,mid,split_first,0.8,,False,,
내부 전기배선 공사업,내부 전기배선 공사업,4231,내부 전기배선 공사업,hwp_5digit,hwp_exact,1.0,42312,False,,
내부 통신배선 공사업,내부 통신배선 공사업,4232,내부 통신배선 공사업,hwp_5digit,hwp_exact,1.0,42322,False,,
내수면 양식 어업,내수면 양식 어업,0321,내수면 양식 어업,hwp_5digit,hwp_exact,1.0,03212,False,,
내수면 어업,내수면 어업,0312,내수면 어업,hwp_5digit,hwp_exact,1.0,03120,False,,
내연기관 및 터빈 제조업; 항공기용 및 차량용 제외,내연기관 및 터빈 제조업,2810,내연기관 및 터빈 제조업,basic,exact,1.0,,False,,
내연기관 승용차 및 기타 여객용 자동차 제조업,내연기관 승용차 및 기타 여객용 자동차 제조업,2911,승용차 및 기타 여객용 자동차 제조업,basic,fuzzy,0.8889,,False,,
내연기관 제조업,내연기관 제조업,2911,내연기관 제조업,hwp_5digit,hwp_exact,1.0,29111,False,,
내연기관 화물자동차 및 특수목적용 자동차 제조업,내연기관 화물자동차 및 특수목적용 자동차 제조업,2912,화물자동차 및 특수 목적용 자동차 제조업,basic,fuzzy,0.875,,False,,
내항 여객 운송업,내항 여객 운송업,5012,내항 여객 운송업,hwp_5digit,hwp_exact,1.0,50121,False,,
내항 운송업,내항 운송업,5100,항공 운송업,basic,fuzzy,0.8333,,False,,
내항 화물 운송업,내항 화물 운송업,5012,내항 화물 운송업,hwp_5digit,hwp_exact,1.0,50122,False,,
내화 요업제품 제조업,내화 요업제품 제조업,2320,"내화, 비내화 요업제품 제조업",basic,fuzzy,0.8462,,False,,
"냉ㆍ난방장치 및 철물, 수공구 도매업",냉난방장치 및 철물 수공구 도매업,4662,배관 및 냉ㆍ난방장치 도매업,hwp_5digit,split_first,0.7826,46621,False,,
"냉각, 공기조화, 여과, 증류 및 가스발생기 제조업",냉각 공기조화 여과 증류 및 가스발생기 제조업,284,"냉각, 공기조화, 여과, 증류 및 가스발생기 제조업",sub,exact,1.0,,False,,
냉간 압연 및 압출 제품 제조업,냉간 압연 및 압출 제품 제조업,2422,냉간 압연 및 압출제품 제조업,basic,fuzzy,0.9697,,False,,
냉장 및 냉동 창고업,냉장 및 냉동 창고업,5210,냉장 및 냉동 창고업,hwp_5digit,hwp_exact,1.0,52102,False,,
노동조합,노동조합,9420,노동조합,hwp_5digit,hwp_exact,1.0,94200,False,,
