원본_업종명,정규화_업종명,KSIC_코드_4자리,KSIC_명칭,매칭_레벨,매칭_방식,매칭_스코어,KSIC_코드_5자리,5자리_모호성,KSIC_코드_11차,변경유형
선박 및 보트 건조업,선박 및 보트 건조업,301,선박 및 보트 건조업,sub,exact,1.0,,False,,
선박 및 수상 부유 구조물 건조업,선박 및 수상 부유 구조물 건조업,3011,강선 건조업,manual,manual_override,1.0,30111,False,,
선박관리업,선박관리업,5292,선박관리업,linkage_11th,link11_exact,1.0,52922,False,52922,세분
선철주물 주조업,선철주물 주조업,2431,선철주물 주조업,hwp_5digit,hwp_exact,1.0,24311,False,,
설치용 및 위생용 플라스틱제품 제조업,설치용 및 위생용 플라스틱제품 제조업,2222,설치용 및 위생용 플라스틱제품 제조업,hwp_5digit,hwp_exact,1.0,22222,False,,
"섬유 원단, 실 및 기타 섬유제품 소매업",섬유 원단 실 및 기타 섬유제품 소매업,4742,"섬유 원단, 실 및 기타 섬유제품 소매업",hwp_5digit,hwp_exact,1.0,47429,False,,
"섬유, 의복 및 가죽 가공기계 제조업",섬유 의복 및 가죽 가공기계 제조업,2892,"섬유, 의복 및 가죽 가공기계 제조업",basic,exact,1.0,,False,,
"섬유, 의복, 신발 및 가죽제품 소매업",섬유 의복 신발 및 가죽제품 소매업,4610,"섬유, 의복, 신발 및 가죽제품 중개업",hwp_5digit,hwp_fuzzy,0.8947,46103,False,,
"섬유, 의복, 신발 및 가죽제품 중개업",섬유 의복 신발 및 가죽제품 중개업,4610,"섬유, 의복, 신발 및 가죽제품 중개업",hwp_5digit,hwp_exact,1.0,46103,False,,
"섬유, 직물 및 의복액세서리 소매업",섬유 직물 및 의복액세서리 소매업,4741,섬유 및 직물류 소매업,manual,manual_override,1.0,47411,False,,
섬유제품 기타 정리 및 마무리 가공업,섬유제품 기타 정리 및 마무리 가공업,1320,섬유제품 염색 및 마무리 가공업,basic,fuzzy,0.8108,,False,,
"섬유제품 염색, 정리 및 마무리 가공업",섬유제품 염색 정리 및 마무리 가공업,1320,섬유제품 염색 및 마무리 가공업,basic,fuzzy,0.9189,,False,,
섬유제품 제조업; 의복제외,섬유제품 제조업,13,섬유제품 제조업,mid,exact,1.0,,False,,
세무사업,세무사업,7120,세무사업,hwp_5digit,hwp_exact,1.0,71202,False,,
"세제, 화장품 및 광택제 제조업",세제 화장품 및 광택제 제조업,2082,세제 및 광택제 제조업,basic,fuzzy,0.8571,,False,,
세탁물 공급업,세탁물 공급업,9691,세탁물 공급업,hwp_5digit,hwp_exact,1.0,96913,False,,
세폭직물 제조업,세폭직물 제조업,1399,세폭직물 제조업,hwp_5digit,hwp_exact,1.0,13991,False,,
셔츠 및 블라우스 소매업,셔츠 및 블라우스 소매업,4741,셔츠 및 블라우스 소매업,hwp_5digit,hwp_exact,1.0,47414,False,,
셔츠 및 블라우스 제조업,셔츠 및 블라우스 제조업,1419,셔츠 및 블라우스 제조업,hwp_5digit,hwp_exact,1.0,14191,False,,
소 사육업,소 사육업,0121,젖소 사육업,hwp_5digit,hwp_fuzzy,0.9091,01211,False,,
"소독, 구충 및 방제 서비스업",소독 구충 및 방제 서비스업,7422,"소독, 구충 및 방제 서비스업",hwp_5digit,hwp_exact,1.0,74220,False,,
소매업; 자동차 제외,소매업,4510,도소매업,basic,fuzzy,0.8571,,False,,
소방시설 공사업,소방시설 공사업,4220,소방시설 공사업,hwp_5digit,hwp_exact,1.0,42204,False,,
소주 제조업,소주 제조업,111,주류 제조업,sub,fuzzy,0.8333,,False,,
소파 및 기타 내장가구 제조업,소파 및 기타 내장가구 제조업,3201,소파 및 기타 내장가구 제조업,hwp_5digit,hwp_exact,1.0,32019,False,,
소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,5820,소프트웨어 개발 및 공급업,basic,exact,1.0,55101,True,,
소화물 전문 운송업,소화물 전문 운송업,4922,특수 화물 자동차 운송업,manual,manual_override,1.0,49224,False,,
속도계 및 적산계기 제조업,속도계 및 적산계기 제조업,2721,속도계 및 적산계기 제조업,hwp_5digit,hwp_exact,1.0,27214,False,,
속옷 및 잠옷 소매업,속옷 및 잠옷 소매업,4741,속옷 및 잠옷 소매업,hwp_5digit,hwp_exact,1.0,47413,False,,
속옷 및 잠옷 제조업,속옷 및 잠옷 제조업,1412,속옷 및 잠옷 제조업,hwp_5digit,hwp_exact,1.0,14120,False,,
손해 보험업,손해 보험업,6512,손해 보험업,hwp_5digit,hwp_exact,1.0,65121,False,,
손해 사정업,손해 사정업,6620,손해 사정업,hwp_5digit,hwp_exact,1.0,66201,False,,
솜 및 실 염색가공업,솜 및 실 염색가공업,1340,솜 및 실 염색가공업,hwp_5digit,hwp_exact,1.0,13401,False,,
송전 및 배전업,송전 및 배전업,3512,송전 및 배전업,hwp_5digit,hwp_exact,1.0,35120,False,,
수도업,수도업,3600,수도업,basic,exact,1.0,,False,,
수동식 식품 가공기기 및 금속 주방용기 제조업,수동식 식품 가공기기 및 금속 주방용기 제조업,2599,수동식 식품 가공기기 및 금속 주방용기 제조업,hwp_5digit,hwp_exact,1.0,25992,False,,
수력 발전업,수력 발전업,4501,수력,io_name,io_exact,1.0,35112,True,,
수렵 및 관련 서비스업,수렵 및 관련 서비스업,0150,수렵 및 관련 서비스업,hwp_5digit,hwp_exact,1.0,01500,False,,
수산동물 가공 및 저장 처리업,수산동물 가공 및 저장 처리업,1020,수산물 가공 및 저장 처리업,basic,fuzzy,0.9677,,False,,
수산동물 건조 및 염장품 제조업,수산동물 건조 및 염장품 제조업,1021,수산동물 건조 및 염장품 제조업,hwp_5digit,hwp_exact,1.0,10212,False,,
수산동물 냉동품 제조업,수산동물 냉동품 제조업,1021,수산동물 냉동품 제조업,hwp_5digit,hwp_exact,1.0,10213,False,,
"수산동물 훈제, 조리 및 유사 조제식품 제조업",수산동물 훈제 조리 및 유사 조제식품 제조업,1021,"수산동물 훈제, 조리 및 유사 조제식품 제조업",hwp_5digit,hwp_exact,1.0,10211,False,,
수산물 가공 및 저장 처리업,수산물 가공 및 저장 처리업,1020,수산물 가공 및 저장 처리업,basic,exact,1.0,,False,,
수산물 가공식품 도매업,수산물 가공식품 도매업,0821,수산물 가공품,io_name,io_fuzzy,0.9333,10211101,True,,
수산물 부화 및 수산종자 생산업,수산물 부화 및 수산종자 생산업,0321,수산물 부화 및 수산종자 생산업,hwp_5digit,hwp_exact,1.0,03213,False,,
수산식물 가공 및 저장 처리업,수산식물 가공 및 저장 처리업,1020,수산물 가공 및 저장 처리업,basic,fuzzy,0.9677,,False,,
수상 금속 골조 구조재 제조업,수상 금속 골조 구조재 제조업,2511,수상 금속 골조 구조재 제조업,hwp_5digit,hwp_exact,1.0,25114,False,,
수상 운송업,수상 운송업,50,수상 운송업,mid,exact,1.0,,False,,
수상 운송지원 서비스업,수상 운송지원 서비스업,5212,수상 운송지원 서비스업,basic,exact,1.0,,False,,
수상 화물 취급업,수상 화물 취급업,5220,화물 취급업,basic,fuzzy,0.8,,False,,
수상오락 서비스업,수상오락 서비스업,9123,기타 수상오락 서비스업,hwp_5digit,hwp_fuzzy,0.8571,91239,False,,
수소 제조업,수소 제조업,1112,소주 제조업,hwp_5digit,hwp_fuzzy,0.8333,11122,False,,
수송용 운송장비 도매업,수송용 운송장비 도매업,4659,수송용 운송장비 도매업,hwp_5digit,hwp_exact,1.0,46594,False,,
수영장 운영업,수영장 운영업,9113,수영장 운영업,hwp_5digit,hwp_exact,1.0,91133,False,,
수의업,수의업,7310,수의업,hwp_5digit,hwp_exact,1.0,73100,False,,
수중 공사업,수중 공사업,4213,수중 공사업,hwp_5digit,hwp_exact,1.0,42136,False,,
수프 및 균질화식품 제조업,수프 및 균질화식품 제조업,1079,수프 및 균질화식품 제조업,hwp_5digit,hwp_exact,1.0,10793,False,,
숙박업,숙박업,5500,숙박업,basic,exact,1.0,51100,True,,
슈퍼마켓,슈퍼마켓,4712,슈퍼마켓,hwp_5digit,hwp_exact,1.0,47121,False,,
스크린 인쇄업,스크린 인쇄업,1811,스크린 인쇄업,hwp_5digit,hwp_exact,1.0,18112,False,,
스키장 운영업,스키장 운영업,9112,스키장 운영업,hwp_5digit,hwp_exact,1.0,91122,False,,
스타킹 및 기타 양말 제조업,스타킹 및 기타 양말 제조업,1441,스타킹 및 기타 양말 제조업,hwp_5digit,hwp_exact,1.0,14411,False,,
스포츠 및 레크리에이션 교육기관,스포츠 및 레크리에이션 교육기관,8561,레크리에이션 교육기관,hwp_5digit,hwp_fuzzy,0.7857,85613,False,,
스포츠 및 레크리에이션 용품 임대업,스포츠 및 레크리에이션 용품 임대업,7621,스포츠 및 레크리에이션 용품 임대업,hwp_5digit,hwp_exact,1.0,76210,False,,
스포츠 및 오락관련 서비스업,스포츠 및 오락관련 서비스업,910,스포츠 및 오락관련 서비스업,sub,exact,1.0,,False,,
스포츠 서비스업,스포츠 서비스업,9101,스포츠 서비스업,basic,exact,1.0,,False,,
스포츠 클럽 운영업,스포츠 클럽 운영업,9119,스포츠 클럽 운영업,hwp_5digit,hwp_exact,1.0,91191,False,,
승강기 제조업,승강기 제조업,2916,승강기 제조업,hwp_5digit,hwp_exact,1.0,29162,False,,
시각 디자인업,시각 디자인업,7320,시각 디자인업,hwp_5digit,hwp_exact,1.0,73203,False,,
시계 및 귀금속 소매업,시계 및 귀금속 소매업,4783,시계 및 귀금속 소매업,hwp_5digit,hwp_exact,1.0,47830,False,,
시계 및 귀금속제품 도매업,시계 및 귀금속제품 도매업,4649,시계 및 귀금속제품 도매업,hwp_5digit,hwp_exact,1.0,46492,False,,
시계 및 시계부품 제조업,시계 및 시계부품 제조업,2740,시계 및 시계부품 제조업,hwp_5digit,hwp_exact,1.0,27400,False,,
시내버스 운송업,시내버스 운송업,4921,시내버스 운송업,hwp_5digit,hwp_exact,1.0,49212,False,,
시멘트 제조업,시멘트 제조업,2620,시멘트,io_name,io_exact,1.0,23311101,True,,
"시멘트, 석회, 플라스터 및 그 제품 제조업",시멘트 석회 플라스터 및 그 제품 제조업,2331,시멘트 제조업,hwp_5digit,split_first,1.0,23311,False,,
시설물 유지관리 공사업,시설물 유지관리 공사업,4250,시설물 유지관리 공사업,hwp_5digit,hwp_exact,1.0,42500,False,,
시설작물 재배업,시설작물 재배업,011,작물 재배업,sub,fuzzy,0.8571,,False,,
시스템 소프트웨어 개발 및 공급업,시스템 소프트웨어 개발 및 공급업,5820,소프트웨어 개발 및 공급업,basic,fuzzy,0.875,55101,True,,
시스템ㆍ응용 소프트웨어 개발 및 공급업,시스템응용 소프트웨어 개발 및 공급업,5820,소프트웨어 개발 및 공급업,basic,fuzzy,0.8235,55101,True,,
시외버스 운송업,시외버스 운송업,4922,시외버스 운송업,hwp_5digit,hwp_exact,1.0,49220,False,,
시장조사 및 여론조사업,시장조사 및 여론조사업,7140,시장조사 및 여론조사업,hwp_5digit,hwp_exact,1.0,71400,False,,
식료품 제조업,식료품 제조업,10,식료품 제조업,mid,exact,1.0,,False,,
식물성 유지 제조업,식물성 유지 제조업,1040,식물성 유지 제조업,hwp_5digit,hwp_exact,1.0,10402,False,,
식물원 및 동물원 운영업,식물원 및 동물원 운영업,9023,식물원 및 동물원 운영업,hwp_5digit,hwp_exact,1.0,90231,False,,
식용 정제유 및 가공유 제조업,식용 정제유 및 가공유 제조업,1040,식용 정제유 및 가공유 제조업,hwp_5digit,hwp_exact,1.0,10403,False,,
"식초, 발효 및 화학 조미료 제조업",식초 발효 및 화학 조미료 제조업,1074,"식초, 발효 및 화학 조미료 제조업",hwp_5digit,hwp_exact,1.0,10741,False,,
식품 위생용 종이 상자 및 용기 제조업,식품 위생용 종이 상자 및 용기 제조업,1722,식품 위생용 종이 상자 및 용기 제조업,hwp_5digit,hwp_exact,1.0,17223,False,,
신문 발행업,신문 발행업,5811,신문 발행업,basic,exact,1.0,56111,True,,
"신문, 잡지 및 정기간행물 출판업",신문 잡지 및 정기간행물 출판업,5812,잡지 및 정기간행물 발행업,hwp_5digit,hwp_fuzzy,0.7742,58122,False,,
신문용지 제조업,신문용지 제조업,1712,신문용지 제조업,hwp_5digit,hwp_exact,1.0,17121,False,,
신발 도매업,신발 도매업,1204,신발,io_name,io_exact,1.0,15211101,True,,
신발 및 신발 부분품 제조업,신발 및 신발 부분품 제조업,1502,신발 및 신발부분품 제조업,basic,fuzzy,0.9655,,False,,
신발 부분품 제조업,신발 부분품 제조업,1502,신발 및 신발부분품 제조업,basic,fuzzy,0.8333,,False,,
신발 소매업,신발 소매업,1204,신발,io_name,io_exact,1.0,15211101,True,,
신발 제조업,신발 제조업,1204,신발,io_name,io_exact,1.0,15211101,True,,
"신선, 냉동 및 기타 수산물 도매업",신선 냉동 및 기타 수산물 도매업,4631,"신선, 냉동 및 기타 수산물 도매업",hwp_5digit,hwp_exact,1.0,46315,False,,
"신선, 냉동 및 기타 수산물 소매업",신선 냉동 및 기타 수산물 소매업,4721,"신선, 냉동 및 기타 수산물 소매업",hwp_5digit,hwp_exact,1.0,47214,False,,
신선식품 및 단순 가공식품 도매업,신선식품 및 단순 가공식품 도매업,4631,기타 신선식품 및 단순 가공식품 도매업,hwp_5digit,hwp_fuzzy,0.9231,46319,False,,
신선식품 및 단순 가공식품 소매업,신선식품 및 단순 가공식품 소매업,4631,기타 신선식품 및 단순 가공식품 도매업,hwp_5digit,hwp_fuzzy,0.8718,46319,False,,
신용 조사 및 추심 대행업,신용 조사 및 추심 대행업,7599,신용 조사 및 추심 대행업,hwp_5digit,hwp_exact,1.0,75993,False,,
신용조합,신용조합,6413,신용조합,hwp_5digit,hwp_exact,1.0,64131,False,,
신용조합 및 저축기관,신용조합 및 저축기관,6413,기타 저축기관,manual,manual_override,1.0,64139,False,,
신용카드 및 할부금융업,신용카드 및 할부금융업,6491,신용카드 및 할부금융업,hwp_5digit,hwp_exact,1.0,64913,False,,
신체 부자유자 거주 복지시설 운영업,신체 부자유자 거주 복지시설 운영업,8712,신체 부자유자 거주 복지시설 운영업,hwp_5digit,hwp_exact,1.0,87121,False,,
신탁업 및 집합투자업,신탁업 및 집합투자업,6420,신탁업 및 집합투자업,hwp_5digit,hwp_exact,1.0,64201,False,,
실내 경기장 운영업,실내 경기장 운영업,9111,실내 경기장 운영업,hwp_5digit,hwp_exact,1.0,91111,False,,
실내건축 및 건축마무리 공사업,실내건축 및 건축마무리 공사업,4249,그 외 기타 건축 마무리 공사업,manual,manual_override,1.0,42499,False,,
실외 경기장 운영업,실외 경기장 운영업,9111,실외 경기장 운영업,hwp_5digit,hwp_exact,1.0,91112,False,,
아스팔트 콘크리트 및 혼합제품 제조업,아스팔트 콘크리트 및 혼합제품 제조업,2391,아스팔트 콘크리트 및 혼합제품 제조업,basic,exact,1.0,22221101,True,,
아이스크림 및 기타 식용빙과류 제조업,아이스크림 및 기타 식용빙과류 제조업,1050,아이스크림 및 기타 식용빙과류 제조업,hwp_5digit,hwp_exact,1.0,10502,False,,
아파트 건설업,아파트 건설업,4111,아파트 건설업,hwp_5digit,hwp_exact,1.0,41112,False,,
악기 도매업,악기 도매업,4393,악기,io_name,io_exact,1.0,33201100,True,,
악기 소매업,악기 소매업,4393,악기,io_name,io_exact,1.0,33201100,True,,
악기 제조업,악기 제조업,3303,악기 제조업,basic,exact,1.0,,False,,
안경 및 렌즈 소매업,안경 및 렌즈 소매업,4782,안경 및 렌즈 소매업,hwp_5digit,hwp_exact,1.0,47822,False,,
안경 및 안경렌즈 제조업,안경 및 안경렌즈 제조업,2719,안경 및 안경렌즈 제조업,hwp_5digit,hwp_exact,1.0,27193,False,,
"안경, 사진장비 및 광학용품 도매업",안경 사진장비 및 광학용품 도매업,4649,"안경, 사진장비 및 광학용품 도매업",hwp_5digit,hwp_exact,1.0,46493,False,,
안전유리 제조업,안전유리 제조업,2311,안전유리 제조업,hwp_5digit,hwp_exact,1.0,23112,False,,
"알루미늄 압연, 압출 및 연신제품 제조업",알루미늄 압연 압출 및 연신제품 제조업,2462,"알루미늄 압연, 압출 및 연신제품 제조업",basic,exact,1.0,,False,,
"알루미늄 제련, 정련 및 합금 제조업",알루미늄 제련 정련 및 합금 제조업,2452,"알루미늄 제련, 정련 및 합금 제조업",basic,exact,1.0,,False,,
알루미늄주물 주조업,알루미늄주물 주조업,2432,알루미늄주물 주조업,hwp_5digit,hwp_exact,1.0,24321,False,,
알코올음료 제조업,알코올음료 제조업,11,음료 제조업,mid,fuzzy,0.8,,False,,
암면 및 유사제품 제조업,암면 및 유사제품 제조업,1072,면류 및 유사 식품 제조업,basic,fuzzy,0.8148,,False,,
압축 및 액화 가스용기 제조업,압축 및 액화 가스용기 제조업,2512,압축 및 액화 가스용기 제조업,hwp_5digit,hwp_exact,1.0,25123,False,,
애니메이션 영화 및 비디오물 제작업,애니메이션 영화 및 비디오물 제작업,5911,애니메이션 영화 및 비디오물 제작업,hwp_5digit,hwp_exact,1.0,59112,False,,
액상시유 및 기타 낙농제품 제조업,액상시유 및 기타 낙농제품 제조업,1050,액상시유 및 기타 낙농제품 제조업,hwp_5digit,hwp_exact,1.0,10501,False,,
액정 표시장치 제조업,액정 표시장치 제조업,2621,액정 표시장치 제조업,basic,exact,1.0,,False,,
액체 여과기 제조업,액체 여과기 제조업,2917,액체 여과기 제조업,hwp_5digit,hwp_exact,1.0,29175,False,,
액체 펌프 제조업,액체 펌프 제조업,2913,액체 펌프 제조업,hwp_5digit,hwp_exact,1.0,29131,False,,
액체연료 및 관련제품 도매업,액체연료 및 관련제품 도매업,4671,액체연료 및 관련제품 도매업,hwp_5digit,hwp_exact,1.0,46712,False,,
야영장업,야영장업,5510,야영장업,linkage_11th,link11_exact,1.0,55105,False,55105,세분
양계업,양계업,0123,양계업,hwp_5digit,hwp_exact,1.0,01231,False,,
양돈업,양돈업,0122,양돈업,basic,exact,1.0,01131,True,,
양식 어업,양식 어업,0311,원양 어업,hwp_5digit,hwp_fuzzy,0.8,03111,False,,
어로 어업,어로 어업,0311,연근해 어업,manual,manual_override,1.0,03112,False,,
어망 및 기타 끈 가공품 제조업,어망 및 기타 끈 가공품 제조업,1392,어망 및 기타 끈 가공품 제조업,hwp_5digit,hwp_exact,1.0,13922,False,,
어업,어업,03,어업,mid,exact,1.0,,False,,
어업 관련 서비스업,어업 관련 서비스업,521,운송 관련 서비스업,sub,fuzzy,0.8,,False,,
얼음 제조업,얼음 제조업,11,음료 제조업,mid,fuzzy,0.8333,,False,,
에너지 저장장치 제조업,에너지 저장장치 제조업,2811,에너지 저장장치 제조업,hwp_5digit,hwp_exact,1.0,28114,False,,
엔지니어링 서비스업,엔지니어링 서비스업,7212,기타 엔지니어링 서비스업,hwp_5digit,hwp_fuzzy,0.8696,72129,False,,
여객 자동차 터미널 운영업,여객 자동차 터미널 운영업,5291,여객 자동차 터미널 운영업,hwp_5digit,hwp_exact,1.0,52912,False,,
여관업,여관업,5510,여관업,hwp_5digit,hwp_exact,1.0,55102,False,,
여신금융업,여신금융업,6491,그 외 기타 여신금융업,hwp_5digit,hwp_fuzzy_agg,0.7692,64919,False,,
여자용 겉옷 소매업,여자용 겉옷 소매업,4741,여자용 겉옷 소매업,hwp_5digit,hwp_exact,1.0,47412,False,,
여자용 겉옷 제조업,여자용 겉옷 제조업,1411,여자용 겉옷 제조업,hwp_5digit,hwp_exact,1.0,14112,False,,
여행사 및 기타 여행보조 서비스업,여행사 및 기타 여행보조 서비스업,9200,여행사 및 기타 여행보조 서비스업,basic,exact,1.0,,False,,
여행사업,여행사업,7521,여행사업,hwp_5digit,hwp_exact,1.0,75210,False,,
"연 및 아연 제련, 정련 및 합금 제조업",연 및 아연 제련 정련 및 합금 제조업,2453,"연 및 아연 제련, 정련 및 합금 제조업",basic,exact,1.0,,False,,
연구개발업,연구개발업,7100,연구개발업,basic,exact,1.0,,False,,
연극단체,연극단체,9012,연극단체,hwp_5digit,hwp_exact,1.0,90121,False,,
연근해 어업,연근해 어업,0311,연근해 어업,hwp_5digit,hwp_exact,1.0,03112,False,,
연금업,연금업,6530,연금업,hwp_5digit,hwp_exact,1.0,65303,False,,
연료 소매업,연료 소매업,4722,음료 소매업,hwp_5digit,hwp_fuzzy,0.8333,47221,False,,
"연료, 광물, 1차 금속, 비료 및 화학제품 중개업",연료 광물 1차 금속 비료 및 화학제품 중개업,4610,"연료, 광물, 1차 금속, 비료 및 화학제품 중개업",hwp_5digit,hwp_exact,1.0,46105,False,,
"연료, 연료용 광물 및 관련제품 도매업",연료 연료용 광물 및 관련제품 도매업,4673,"염료, 안료 및 관련제품 도매업",hwp_5digit,hwp_fuzzy,0.7778,46731,False,,
연료용 가스 제조 및 배관공급업,연료용 가스 제조 및 배관공급업,3520,연료용 가스 제조 및 배관공급업,basic,exact,1.0,,False,,
연마재 제조업,연마재 제조업,2693,연마재,io_name,io_exact,1.0,23992101,True,,
연사 및 가공사 제조업,연사 및 가공사 제조업,1311,방적 및 가공사 제조업,basic,fuzzy,0.8333,16101101,True,,
연성 및 기타 인쇄회로기판 제조업,연성 및 기타 인쇄회로기판 제조업,2622,연성 및 기타 인쇄회로기판 제조업,hwp_5digit,hwp_exact,1.0,26223,False,,
열간 압연 및 압출 제품 제조업,열간 압연 및 압출 제품 제조업,2421,열간 압연 및 압출제품 제조업,basic,fuzzy,0.9697,,False,,
"염료, 안료 및 관련제품 도매업",염료 안료 및 관련제품 도매업,4673,"염료, 안료 및 관련제품 도매업",hwp_5digit,hwp_exact,1.0,46731,False,,
"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업",염료 조제 무기안료 유연제 및 기타 착색제 제조업,2022,"무기안료, 염료, 유연제 및 기타 착색제 제조업",basic,fuzzy,0.8235,,False,,
영림업,영림업,0301,영림,io_name,io_exact,1.0,02011,True,,
영상 및 음향기기 제조업,영상 및 음향기기 제조업,267,영상 및 음향기기 제조업,sub,exact,1.0,,False,,
영상·오디오물 제공 서비스업,영상오디오물 제공 서비스업,6032,오디오물 제공 서비스업,linkage_11th,link11_fuzzy,0.9231,60320,False,60320,세분
영상ㆍ오디오 기록물 제작 및 배급업,영상오디오 기록물 제작 및 배급업,5901,"영상, 오디오 기록물 제작 및 배급업",basic,fuzzy,0.973,,False,,
영상게임기 제조업,영상게임기 제조업,3340,영상게임기 제조업,hwp_5digit,hwp_exact,1.0,33402,False,,
영상물 제공 서비스업,영상물 제공 서비스업,6031,영상물 제공 서비스업,linkage_11th,link11_exact,1.0,60310,False,60310,세분
영화 및 비디오물 상영업,영화 및 비디오물 상영업,5902,영화 및 비디오물 상영업,basic,exact,1.0,,False,,
"영화, 비디오물 및 방송프로그램 배급업",영화 비디오물 및 방송프로그램 배급업,5913,"영화, 비디오물 및 방송프로그램 배급업",hwp_5digit,hwp_exact,1.0,59130,False,,
"영화, 비디오물 및 방송프로그램 제작 관련 서비스업",영화 비디오물 및 방송프로그램 제작 관련 서비스업,5912,"영화, 비디오물 및 방송프로그램 제작 관련 서비스업",hwp_5digit,hwp_exact,1.0,59120,False,,
"영화, 비디오물 및 방송프로그램 제작업",영화 비디오물 및 방송프로그램 제작업,5913,"영화, 비디오물 및 방송프로그램 배급업",hwp_5digit,hwp_fuzzy,0.9,59130,False,,
"영화, 비디오물, 방송프로그램 제작 및 배급업",영화 비디오물 방송프로그램 제작 및 배급업,5913,"영화, 비디오물 및 방송프로그램 배급업",hwp_5digit,hwp_fuzzy,0.8372,59130,False,,
영화관 운영업,영화관 운영업,5914,영화관 운영업,hwp_5digit,hwp_exact,1.0,59141,False,,
예술품 및 골동품 소매업,예술품 및 골동품 소매업,4784,예술품 및 골동품 소매업,hwp_5digit,hwp_exact,1.0,47841,False,,
"예술품, 기념품 및 장식용품 소매업",예술품 기념품 및 장식용품 소매업,4784,"기념품, 관광 민예품 및 장식용품 소매업",manual,manual_override,1.0,47842,False,,
예술학원,예술학원,8562,예술 학원,hwp_5digit,hwp_fuzzy,0.8889,85620,False,,
예식장업,예식장업,9699,예식장업,hwp_5digit,hwp_exact,1.0,96991,False,,
"오디오, 스피커 및 기타 음향기기 제조업",오디오 스피커 및 기타 음향기기 제조업,2673,"오디오, 스피커 및 기타 음향기기 제조업",basic,exact,1.0,,False,,
오디오물 제공 서비스업,오디오물 제공 서비스업,6032,오디오물 제공 서비스업,linkage_11th,link11_exact,1.0,60320,False,60320,세분
오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,5901,"영화, 비디오물, 방송프로그램 제작업",manual,manual_override,1.0,59010,False,,
오락 및 스포츠용 보트 건조업,오락 및 스포츠용 보트 건조업,3112,오락 및 스포츠용 보트 건조업,hwp_5digit,hwp_exact,1.0,31120,False,,
오락장 운영업,오락장 운영업,9122,기타 오락장 운영업,hwp_5digit,hwp_fuzzy,0.8235,91229,False,,
오프셋 인쇄업,오프셋 인쇄업,1811,오프셋 인쇄업,hwp_5digit,hwp_exact,1.0,18113,False,,
옥외 광고업,옥외 광고업,7139,옥외 광고업,linkage_11th,link11_exact,1.0,71391,False,71391,명칭변경
온라인 교육 학원,온라인 교육 학원,8550,온라인 교육 학원,hwp_5digit,hwp_exact,1.0,85503,False,,
온라인 활용 마케팅 및 관련 사업지원 서비스업,온라인 활용 마케팅 및 관련 사업지원 서비스업,7599,온라인 활용 마케팅 및 관련 사업지원 서비스업,linkage_11th,link11_exact,1.0,75995,False,75995,세분
완제 의약품 제조업,완제 의약품 제조업,2121,완제 의약품 제조업,hwp_5digit,hwp_exact,1.0,21210,False,,
외국식 음식점업,외국식 음식점업,5611,기타 외국식 음식점업,hwp_5digit,hwp_fuzzy,0.8421,56119,False,,
외국어학원,외국어학원,8563,외국어학원,hwp_5digit,hwp_exact,1.0,85631,False,,
외국어학원 및 기타 교습학원,외국어학원 및 기타 교습학원,8563,기타 교습학원,manual,manual_override,1.0,85632,False,,
외국은행,외국은행,6412,외국은행,hwp_5digit,hwp_exact,1.0,64122,False,,
외국인 학교,외국인 학교,8542,외국인 학교,hwp_5digit,hwp_exact,1.0,85420,False,,
외항 여객 운송업,외항 여객 운송업,5010,외항 운송업,basic,fuzzy,0.8,101(410),True,,
외항 운송업,외항 운송업,5010,외항 운송업,basic,exact,1.0,101(410),True,,
외항 화물 운송업,외항 화물 운송업,5010,외항 운송업,basic,fuzzy,0.8,101(410),True,,
요양 병원,요양 병원,8610,요양 병원,hwp_5digit,hwp_exact,1.0,86105,False,,
요업용 도포제 및 관련제품 제조업,요업용 도포제 및 관련제품 제조업,2041,요업용 도포제 및 관련제품 제조업,hwp_5digit,hwp_exact,1.0,20412,False,,
"욕탕, 마사지 및 기타 신체관리 서비스업",욕탕 마사지 및 기타 신체관리 서비스업,9612,체형 등 기타 신체관리 서비스업,manual,manual_override,1.0,96129,False,,
욕탕업,욕탕업,9612,욕탕업,hwp_5digit,hwp_exact,1.0,96121,False,,
"용기 세척, 포장 및 충전기 제조업",용기 세척 포장 및 충전기 제조업,2919,"용기 세척, 포장 및 충전기 제조업",hwp_5digit,hwp_exact,1.0,29192,False,,
우편 및 통신업,우편 및 통신업,8422,우편 및 통신행정,hwp_5digit,hwp_fuzzy,0.8235,84224,False,,
운동 및 경기용구 제조업,운동 및 경기용구 제조업,3302,운동 및 경기용구 제조업,basic,exact,1.0,,False,,
운동 및 경기용품 도매업,운동 및 경기용품 도매업,4392,운동 및 경기용품,io_name,io_exact,1.0,33301100,True,,
운동 및 경기용품 소매업,운동 및 경기용품 소매업,4392,운동 및 경기용품,io_name,io_exact,1.0,33301100,True,,
운동용품 및 자전거 소매업,운동용품 및 자전거 소매업,4763,운동 및 경기용품 소매업,hwp_5digit,split_first,0.7619,47631,False,,
운송장비 임대업,운송장비 임대업,6919,기타 운송장비 임대업,hwp_5digit,hwp_fuzzy,0.8421,69190,False,,
